Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Client or book location indicator
E. 5th St. East Village Manhattan,40.7224452961828,-73.9786505699157,Manhattan,East Village,N/A
New York County Courthouse 40 Foley Square Lower Manhattan,40.7137000000000,-74.0079000000000,Manhattan,Lower Manhattan,"New York County
Courthouse on Foley Square."
W. 47th St. and Seventh Ave. Times Square Manhattan,40.7592204876521,-73.9846211671829,Manhattan,Times Square,"47th St. and 7th Ave. Times Square
Manhattan"
E. 60-66th St. and Madison Ave. Upper East Side Manhattan,40.7661000000000,-73.9696000000000,Manhattan,Upper East Side,60-66th and Madison
World Trade Center Lower Manhattan,40.7117926273691,-74.0123283863067,Manhattan,Lower Manhattan,World Trade Center
Carl Schurz Park Upper East Side Manhattan,40.7750655922650,-73.9431273937225,Manhattan,Upper East Side,Carl Schurz Park btwn 84th and 85th and promenade
Long Island City,40.7460702458493,-73.9503800868988,Queens,Queens,Long Island City
Statue of Liberty Liberty Island New York Harbor,40.6895873134383,-74.0437960624694,Manhattan,New York Harbor,"Statue of Liberty, Liberty Island, New York Harbor"
New York Harbor,40.6989909067436,-74.0384960174560,Manhattan,New York Harbor,
Mercer and Grand SoHo Manhattan,40.7213000000000,-74.0015000000000,Manhattan,SoHo,SoHo
E. 95th St. off Madison Ave. Upper East Side Manhattan,40.7866000000000,-73.9547000000000,Manhattan,Upper East Side,95th Street off Madison Avenue
Chinatown Manhattan,40.7162165380157,-73.9980804920196,Manhattan,Chinatown,Chinatown
Mercer St. between Spring and Broome SoHo Manhattan,40.7225591322924,-74.0002906322479,Manhattan,SoHo,SoHo
Coney Island Brooklyn,40.5736092162742,-73.9759683609008,Brooklyn,Brooklyn,Coney Island boardwalk
Pier 11 Manhattan,40.7042046109406,-74.0060251951217,Manhattan,Lower Manhattan,Pier 11
Foot of 59th St. Bridge Upper East Side Manhattan,40.7578064331838,-73.9596283435821,Manhattan,Midtown,foot of 58th street bridge
E. 68th St. between Park Ave. and Madison Ave. Upper East Side Manhattan,40.7689067645632,-73.9666020870208,Manhattan,Upper East Side,68th Street bet Park and Madison Aves
W. 95th St. Upper West Side Manhattan,40.7916379656320,-73.9665377140045,Manhattan,Upper West Side,West 95th Street
Bergdorf's at 754 Fifth Ave. Midtown Manhattan,40.7633340000000,-73.9738910000000,Manhattan,Midtown,"in front of Bergorf's, 5th Ave at 58th street"
Sixth Ave. between 11th St. and 12th St. West Village Manhattan,40.7354050994831,-73.9983165264129,Manhattan,West Village,Sixth Avenue btwn 11th ansd 12th St east side of 6th Ave
Washington Square Park West Village Manhattan,40.7307222999436,-73.9965140819549,Manhattan,West Village,Washington Square Park
Greenwich St. and Christopher St. Greenwich Village Manhattan,40.7331125200550,-74.0074145793914,Manhattan,SoHo,Greenwhich Street near Christopher Street
Lower East Side Manhattan,40.7181844332103,-73.9888536930084,Manhattan,Lower East Side,[Ludlow below Delancy ] Lower East Side
Chelsea,40.7432415474408,-74.0019643306732,Manhattan,Chelsea,chelsea (midtown)
F.A.O. Schwarz at 767 Fifth Ave. Midtown Manhattan,40.7640530000000,-73.9729780000000,Manhattan,Midtown,F.A.O. Schwarz - 58th and Fifth Avenue
Prospect Park West and 16th St. Windsor Terrace Brooklyn,40.6574944777108,-73.9740693569183,Brooklyn,Brooklyn,Prospect Park West and 16th Street in Windsor Terrace
Tiffany & Co. at 727 Fifth Ave. Midtown Manhattan,40.7625100000000,-73.9741420000000,Manhattan,Midtown,Tiffany & Co. - 727 Fifth Avenue at 57th Street
E. 71st St. Upper East Side Manhattan,40.7713606139352,-73.9664304256439,Manhattan,Upper East Side,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Central Park Mall Manhattan,40.7732131289256,-73.9712798595428,Manhattan,Central Park,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Carnegie Deli at 854 Seventh Ave. Midtown Manhattan,40.7640730000000,-73.9812880000000,Manhattan,Midtown,Carnegie Deli - 7th Avenue at 55th Street
Howard Beach Queens,40.6655354110279,-73.8412570953369,Queens,Queens,Howard Beach 
American Ballet Theater 890 Broadway Manhattan,40.7386410000000,-73.9897740000000,Manhattan,Midtown,American Ballet Theater: 890 Broadway
269 E. Houston St. Lower East Side Manhattan,40.7215160000000,-73.9846160000000,Manhattan,Lower East Side,269 East Houston Street
Chelsea Hotel on W. 23rd St. Chelsea Manhattan,40.7442870000000,-73.9964970000000,Manhattan,Midtown,"Chelsea Hotel, 23rd street"
Gowanus Houses Brooklyn,40.6841527980685,-73.9880490303039,Brooklyn,Brooklyn,"Gowanus Houses: Wycoff, Douglass, Bond and Hoyt streets"
Fort Tryon Park Manhattan,40.8594603138554,-73.9340829849243,Manhattan,Fort George,Fort Tyron Park
Harlem,40.8065008407019,-73.9392864704132,Manhattan,Harlem,Harlem
Fifth Ave. and 53rd St. Midtown Manhattan,40.7604000000000,-73.9758000000000,Manhattan,Midtown,Fifth Avenue
"Chambers St. near Centre St. Lower Manhattan
",40.7134520000000,-74.0043730000000,Manhattan,SoHo,Chambers St bet Elk St and Centre St
